21세기종합,1989,B1,전라남도,순천시
AIP,2003,B2,서울시,강남구
이십일세기,.,B1,.,.
겨레,1990,B10,서울시,서초구
서진,2004,B100,대전시,서구
서초,1996,B101,서울시,서초구
서해,1992,B102,인천시,남구
선유,2012,B103,충남,천안시
선진,2006,B104,서울시,서초구
선하,2012,B105,서울시,서초구
성산,2012,B106,서울시,서초구
성심종합,1999,B107,서울시,강남구
성우,2003,B108,경기도,의정부시
성의,2010,B109,서울시,서초구
겸인,2013,B11,서울시,서초구
세민,2012,B110,서울시,서초구
세방종합,1988,B111,경기도,의정부시
센트럴,2017,B112,서울시,서초구
소망,1997,B113,서울시,노원구
소명,1999,B114,서울시,서초구
송파합동,1999,B115,서울시,송파구
숲,2014,B116,서울시,서초구
수담,2012,B117,서울시,서초구
신의로,2017,B118,대구시,수성구
신화,1983,B119,서울시,서초구
경기일원,2000,B12,경기도,구리시
씨앤유,2015,B120,경기도,고양시
아시아,1985,B121,서울시,서초구
아주양헌,2014,B122,서울시,서초구
아침,2007,B123,서울시,서초구
약수,2012,B124,서울시,서초구
양지,2008,B125,충북,청주시
어진,2013,B126,.,.
엘에스,2006,B127,서울시,구로구
여산,1996,B128,서울시,강남구
여주종합,2000,B129,.,.
경남,1961,B13,경상남도,창원시
영광,1989,B130,경기도,남양주시
영남,1983,B131,대구시,수성구
예일,2015,B132,서울시,도봉구
오늘로,2012,B133,서울시,강남구
온,2011,B134,서울시,강남구
우덕,2006,B135,서울시,강남구
우리들,2001,B136,부산시,연제구
우리법률,1985,B137,서울시,서초구
우산,2009,B138,서울시,서초구
우인,2001,B139,서울시,중구
경림,2017,B14,서울시,서초구
원명,2015,B140,서울시,서초구
원율,1998,B141,경상북도,경주시
윈,1995,B142,서울시,강남구
위더스,2010,B143,경상북도,포항시
위드,2011,B144,서울시,서초구
위민,1987,B145,서울시,서초구
윈앤윈,2008,B146,서울시,서초구
유담,2006,B147,서울시,서초구
윤중,2010,B148,서울시,서초구
율곡,2015,B149,서울시,서초구
경북,1979,B15,서울시,서초구
율곡종합,1998,B150,경기도,부천시
율곡중앙,2012,B151,서울시,서초구
율목,2005,B152,경기도,군포시
율산,2006,B153,서울시,강남구
율헌,2013,B154,서울시,서초구
의림종합,1995,B155,경기도,용인시
이레월드,2013,B156,서울시,광진구
이루,2014,B157,인천시,남구
이림,2010,B158,서울시,서초구
이수,1996,B159,서울시,서초구
경북삼일,2006,B16,경상북도,구미시
이순신,2017,B160,서울시,서초구
이지스,2007,B162,서울시,서초구
인순,2014,B163,서울시,강남구
인정,2012,B164,서울시,서초구
인천로펌,2006,B165,인천시,남구
인천시민,2004,B166,인천시,남구
인촌,2014,B167,서울시,중구
일원송헌,2011,B168,서울시,서초구
일촌,1990,B169,서울시,서초구
경상북도,.,B17,경상북도,안동시
일흥,2013,B170,.,.
자유,1999,B171,서울시,도봉구
장강,2011,B172,서울시,서초구
장백,2004,B173,서울시,서초구
재상,2007,B174,서울시,강남구
정우종합,1987,B175,울산시,남구
정일,1996,B176,서울시,서초구
정현,1987,B177,서울시,서초구
제이,2012,B178,서울시,강남구
제이비케이,2013,B179,.,.
경인,2000,B18,경기도,부천시
제일종합,1995,B180,경기도,성남시
조은,2001,B181,서울시,서초구
조홍,2016,B182,서울시,서초구
좋은세상,.,B183,서울시,서초구
중도,1980,B184,대전시,서구
중심,2012,B185,서울시,강남구
중앙,1985,B186,서울시,서초구
중원종합,1986,B187,서울시,광진구
중추,2002,B188,서울시,서초구
지정,.,B189,.,.
계양종합,2003,B19,인천시,계양구
지현재,.,B190,서울시,서초구
진우,2013,B191,서울시,서초구
진율,2015,B192,경기도,안양시
진주,1976,B193,서울시,서초구
진주종합,1995,B194,경상남도,진주시
창원,1992,B195,경상남도,창원시
천일,2013,B196,서울시,서초구
천지,2001,B197,서울시,서초구
청라,.,B198,인천시,남구
청람,2012,B199,서울시,서초구
공평종합,2004,B20,경기도,안양시
청리,2009,B200,대전시,서구
청명,2004,B201,서울시,서초구
청안,2003,B202,서울시,서초구
청와,2005,B203,.,.
청주합동,1993,B204,.,.
치악종합,1991,B205,강원도,원주시
케이씨엘,1992,B206,서울시,서초구
코리아나,1987,B207,서울시,강남구
클라비스,2013,B208,서울시,서초구
태담,2013,B209,서울시,서초구
관악,2000,B21,서울시,관악구
태산,2012,B210,서울시,강남구
태안,1993,B211,서울시,서초구
태윤,2013,B212,서울시,강북구
태평,2017,B213,서울시,강남구
태화,.,B214,울산시,남구
티엘비에스,1994,B215,서울시,광진구
팀 선인,2017,B216,서울시,서초구
평택,1986,B217,서울시,서초구
포항종합,1989,B218,경상북도,경주시
피데스,2013,B219,.,.
